Month,completed days,closed_date_month
Apr,7.953865336658354,4
Aug,17.92532088681447,8
Dec,20.371522094926352,12
Feb,2.7844262295081967,2
Jan,17.436206896551724,1
Jul,22.442595673876873,7
Jun,19.330571665285834,6
Mar,2.9121475054229933,3
May,16.543560606060606,5
Nov,10.363484087102178,11
Oct,7.537259615384615,10
Sep,5.120253164556962,9
