Month,completed days,closed_date_month
Apr,12.273497688751926,4
Aug,19.041103603603602,8
Dec,16.351883561643834,12
Feb,11.282504012841091,2
Jan,17.86670687575392,1
Jul,18.59585121602289,7
Jun,7.764462809917355,6
Mar,9.528125,3
May,22.474660633484163,5
Nov,26.56972111553785,11
Oct,18.44035446489434,10
Sep,21.67844522968198,9
