Month,completed days,closed_date_month
Apr,7.466165413533835,4
Aug,8.78117524700988,8
Dec,7.054121246892331,12
Feb,7.747923821417421,2
Jan,6.947320285348455,1
Jul,7.1406563965170795,7
Jun,7.549499074118038,6
Mar,7.592816400293669,3
May,8.035234349393642,5
Nov,8.036551425567444,11
Oct,7.0283246768933445,10
Sep,7.814992118629226,9
