Month,completed days,closed_date_month
Apr,28.201077199281865,4
Aug,12.219718309859156,8
Dec,11.173285198555957,12
Feb,12.356617647058824,2
Jan,12.246062992125983,1
Jul,12.415770609318997,7
Jun,10.070998796630565,6
Mar,25.372315035799524,3
May,10.873485868102287,5
Nov,9.462650602409639,11
Oct,9.3311432325887,10
Sep,11.565902578796562,9
