Month,completed days,closed_date_month
Apr,1.7480748074807482,4
Aug,1.4563206577595067,8
Dec,2.7276029055690074,12
Feb,1.668192219679634,2
Jan,1.8577405857740585,1
Jul,2.124752475247525,7
Jun,2.0595238095238093,6
Mar,1.8028747433264887,3
May,1.4925742574257426,5
Nov,5.360969387755102,11
Oct,1.5336481700118063,10
Sep,1.6924754634678298,9
