,symbol,date,price
134,Solid Waste Management,Mar 2015,7.863107412000001
135,Solid Waste Management,Apr 2015,9.184458399
136,Solid Waste Management,May 2015,7.414740661000001
137,Solid Waste Management,Jun 2015,7.196086742
138,Solid Waste Management,Jul 2015,8.139064125
139,Solid Waste Management,Aug 2015,7.201787259
140,Solid Waste Management,Sep 2015,7.080835395
141,Solid Waste Management,Oct 2015,7.449065822000001
142,Solid Waste Management,Nov 2015,7.496725844
143,Solid Waste Management,Dec 2015,7.696068088
144,Solid Waste Management,Jan 2016,7.744633972999999
145,Solid Waste Management,Feb 2016,7.790697674
146,Solid Waste Management,Mar 2016,7.863107412000001
147,Solid Waste Management,Apr 2016,9.184458399
148,Solid Waste Management,May 2016,7.414740661000001
149,Solid Waste Management,Jun 2016,7.196086742
150,Solid Waste Management,Jul 2016,8.139064125
151,Solid Waste Management,Aug 2016,7.201787259
152,Solid Waste Management,Sep 2016,7.080835395
153,Solid Waste Management,Oct 2016,7.449065822000001
154,Solid Waste Management,Nov 2016,7.496725844
155,Solid Waste Management,Dec 2016,7.696068088
156,Solid Waste Management,Jan 2017,8.926316462
157,Solid Waste Management,Feb 2017,8.121309411
158,Solid Waste Management,Mar 2017,8.663106852
159,Solid Waste Management,Apr 2017,8.651187585
160,Solid Waste Management,May 2017,7.4093551070000006
161,Solid Waste Management,Jun 2017,6.300759356
162,Solid Waste Management,Jul 2017,7.129844858999999
163,Solid Waste Management,Aug 2017,7.532196205
164,Solid Waste Management,Sep 2017,9.114825455
165,Solid Waste Management,Oct 2017,9.328197227
166,Solid Waste Management,Nov 2017,9.399456522000001
167,Solid Waste Management,Dec 2017,15.47081553
168,Solid Waste Management,Jan 2018,6.947320285
169,Solid Waste Management,Feb 2018,7.7479238210000005
170,Solid Waste Management,Mar 2018,7.5928164
171,Solid Waste Management,Apr 2018,7.466165414
172,Solid Waste Management,May 2018,8.035234349
173,Solid Waste Management,Jun 2018,7.549499074
174,Solid Waste Management,Jul 2018,7.140656397000001
175,Solid Waste Management,Aug 2018,8.781175247
176,Solid Waste Management,Sep 2018,7.814992118999999
177,Solid Waste Management,Oct 2018,7.0283246770000005
178,Solid Waste Management,Nov 2018,8.036551426
179,Solid Waste Management,Dec 2018,7.054121247
180,Public Works Road,Jan 2013,12.24606299
181,Public Works Road,Feb 2013,12.35661765
182,Public Works Road,Mar 2013,25.37231504
183,Public Works Road,Apr 2013,28.2010772
184,Public Works Road,May 2013,10.87348587
185,Public Works Road,Jun 2013,10.070998800000002
186,Public Works Road,Jul 2013,12.41577061
187,Public Works Road,Aug 2013,12.21971831
188,Public Works Road,Sep 2013,11.56590258
189,Public Works Road,Oct 2013,9.331143232999999
190,Public Works Road,Nov 2013,9.462650602
191,Public Works Road,Dec 2013,11.1732852
192,Public Works Road,Jan 2015,22.53278689
193,Public Works Road,Feb 2015,14.27586207
194,Public Works Road,Mar 2015,16.33811475
195,Public Works Road,Apr 2015,22.54329004
196,Public Works Road,May 2015,16.33484163
197,Public Works Road,Jun 2015,19.34241245
198,Public Works Road,Jul 2015,13.70117647
199,Public Works Road,Aug 2015,11.44311377
200,Public Works Road,Sep 2015,14.54622742
201,Public Works Road,Oct 2015,13.77651515
202,Public Works Road,Nov 2015,15.75059382
203,Public Works Road,Dec 2015,21.79904875
204,Public Works Road,Jan 2016,22.53278689
205,Public Works Road,Feb 2016,14.27586207
206,Public Works Road,Mar 2016,16.33811475
207,Public Works Road,Apr 2016,22.54329004
208,Public Works Road,May 2016,16.33484163
209,Public Works Road,Jun 2016,19.34241245
210,Public Works Road,Jul 2016,13.70117647
211,Public Works Road,Aug 2016,11.44311377
212,Public Works Road,Sep 2016,14.54622742
213,Public Works Road,Oct 2016,13.77651515
214,Public Works Road,Nov 2016,15.75059382
215,Public Works Road,Dec 2016,21.79904875
216,Public Works Road,Jan 2017,69.87747036
217,Public Works Road,Feb 2017,67.08989899
218,Public Works Road,Mar 2017,73.30571762
219,Public Works Road,Apr 2017,77.49053356
220,Public Works Road,May 2017,63.25306122
221,Public Works Road,Jun 2017,36.74450085
222,Public Works Road,Jul 2017,41.12672522
223,Public Works Road,Aug 2017,30.71145374
224,Public Works Road,Sep 2017,46.65913758
225,Public Works Road,Oct 2017,27.61228407
226,Public Works Road,Nov 2017,58.71428571
227,Public Works Road,Dec 2017,84.34239129999999
228,Public Works Road,Jan 2018,45.62343096
229,Public Works Road,Feb 2018,59.71175523
230,Public Works Road,Mar 2018,45.30268741
231,Public Works Road,Apr 2018,30.85178236
232,Public Works Road,May 2018,21.46946565
233,Public Works Road,Jun 2018,14.06325301
234,Public Works Road,Jul 2018,22.26725664
235,Public Works Road,Aug 2018,29.42265795
236,Public Works Road,Sep 2018,32.14622258
237,Public Works Road,Oct 2018,31.73928571
238,Public Works Road,Nov 2018,88.26966292
239,Public Works Road,Dec 2018,47.93023256
